AA123 	/	 Los Angeles 	/	08:00	/	 On Time 	/	 No gate
UA896	/	 Houston 	/	14:41	/	 On Time 	/	 No gate
DL327	/	 Las Vegas 	/	14:42	/	 On Time 	/	 No gate
AC660	/	 Vancouver 	/	14:43	/	 On Time 	/	 No gate
BA993	/	 Manchester 	/	14:44	/	 On Time 	/	 No gate
LH438	/	 Hamburg 	/	14:45	/	 On Time 	/	 No gate
AF771	/	 Marseille 	/	14:46	/	 On Time 	/	 No gate
UA561	/	 Houston 	/	14:47	/	 On Time 	/	 No gate
AA672	/	 Los Angeles 	/	14:48	/	 On Time 	/	 No gate
DL783	/	 New York 	/	14:49	/	 On Time 	/	 No gate
AC894	/	 Toronto 	/	14:50	/	 On Time 	/	 No gate
BA1005	/	 London 	/	14:51	/	 On Time 	/	 No gate
LH1016	/	 Frankfurt 	/	14:52	/	 On Time 	/	 No gate
AF1117	/	 Paris 	/	14:53	/	 On Time 	/	 No gate
EK1218	/	 Dubai 	/	14:54	/	 On Time 	/	 No gate
TK1319	/	 Istanbul 	/	14:55	/	 On Time 	/	 No gate
AZ1420	/	 Rome 	/	14:56	/	 On Time 	/	 No gate
CX1521	/	 Hong Kong 	/	14:57	/	 On Time 	/	 No gate
JL1622	/	 Tokyo 	/	14:58	/	 On Time 	/	 No gate
QR1723	/	 Doha 	/	14:59	/	 On Time 	/	 No gate
EY1824	/	 Abu Dhabi 	/	15:00	/	 On Time 	/	 No gate
KE1925	/	 Seoul 	/	15:01	/	 On Time 	/	 No gate
AI2026	/	 Delhi 	/	15:02	/	 On Time 	/	 No gate
TG2127	/	 Bangkok 	/	15:03	/	 On Time 	/	 No gate
KL2228	/	 Amsterdam 	/	15:04	/	 On Time 	/	 No gate
UA2329	/	 Washington DC 	/	15:05	/	 On Time 	/	 No gate
DL2430	/	 Miami 	/	15:06	/	 On Time 	/	 No gate
AA130	/	 Los Angeles 	/	15:07	/	 On Time 	/	 No gate
UA463	/	 New York 	/	15:08	/	 On Time 	/	 No gate
DL796	/	 Chicago 	/	15:09	/	 On Time 	/	 No gate
AC241	/	 Toronto 	/	15:10	/	 On Time 	/	 No gate
BA574	/	 London 	/	15:11	/	 On Time 	/	 No gate
LH897	/	 Frankfurt 	/	15:12	/	 On Time 	/	 No gate
AF130	/	 Paris 	/	15:13	/	 On Time 	/	 No gate
EK463	/	 Dubai 	/	15:14	/	 On Time 	/	 No gate
TK796	/	 Istanbul 	/	15:15	/	 On Time 	/	 No gate
AZ241	/	 Rome 	/	15:16	/	 On Time 	/	 No gate
CX574	/	 Hong Kong 	/	15:17	/	 On Time 	/	 No gate
JL897	/	 Tokyo 	/	15:18	/	 On Time 	/	 No gate
QR130	/	 Doha 	/	15:19	/	 On Time 	/	 No gate
EY463	/	 Abu Dhabi 	/	15:20	/	 On Time 	/	 No gate
KE796	/	 Seoul 	/	15:21	/	 On Time 	/	 No gate
AI241	/	 Delhi 	/	15:22	/	 On Time 	/	 No gate
TG574	/	 Bangkok 	/	15:23	/	 On Time 	/	 No gate
KL897	/	 Amsterdam 	/	15:24	/	 On Time 	/	 No gate
UA328	/	 Washington DC 	/	15:25	/	 On Time 	/	 No gate
DL661	/	 Miami 	/	15:26	/	 On Time 	/	 No gate
AC994	/	 Montreal 	/	15:27	/	 On Time 	/	 No gate
BA439	/	 Edinburgh 	/	15:28	/	 On Time 	/	 No gate
LH772	/	 Munich 	/	15:29	/	 On Time 	/	 No gate
AF897	/	 Lyon 	/	15:30	/	 On Time 	/	 No gate
EK328	/	 Abu Dhabi 	/	15:31	/	 On Time 	/	 No gate
TK661	/	 Antalya 	/	15:32	/	 On Time 	/	 No gate
AZ994	/	 Milan 	/	15:33	/	 On Time 	/	 No gate
CX439	/	 Taipei 	/	15:34	/	 On Time 	/	 No gate
JL772	/	 Osaka 	/	15:35	/	 On Time 	/	 No gate
QR897	/	 Dubai 	/	15:36	/	 On Time 	/	 No gate
EY328	/	 Muscat 	/	15:37	/	 On Time 	/	 No gate
KE661	/	 Jeju 	/	15:38	/	 On Time 	/	 No gate
AI994	/	 Mumbai 	/	15:39	/	 On Time 	/	 No gate
TG439	/	 Phuket 	/	15:40	/	 On Time 	/	 No gate
KL772	/	 Copenhagen 	/	15:41	/	 On Time 	/	 No gate
UA897	/	 Houston 	/	15:42	/	 On Time 	/	 No gate
DL328	/	 Las Vegas 	/	15:43	/	 On Time 	/	 No gate
AC661	/	 Vancouver 	/	15:44	/	 On Time 	/	 No gate
BA994	/	 Manchester 	/	15:45	/	 On Time 	/	 No gate
LH439	/	 Hamburg 	/	15:46	/	 On Time 	/	 No gate
AF772	/	 Marseille 	/	15:47	/	 On Time 	/	 No gate
UA562	/	 Houston 	/	15:48	/	 On Time 	/	 No gate
AA673	/	 Los Angeles 	/	15:49	/	 On Time 	/	 No gate
DL784	/	 New York 	/	15:50	/	 On Time 	/	 No gate
AC895	/	 Toronto 	/	15:51	/	 On Time 	/	 No gate
BA1006	/	 London 	/	15:52	/	 On Time 	/	 No gate
LH1017	/	 Frankfurt 	/	15:53	/	 On Time 	/	 No gate
AF1118	/	 Paris 	/	15:54	/	 On Time 	/	 No gate
EK1219	/	 Dubai 	/	15:55	/	 On Time 	/	 No gate
TK1320	/	 Istanbul 	/	15:56	/	 On Time 	/	 No gate
AZ1421	/	 Rome 	/	15:57	/	 On Time 	/	 No gate
CX1522	/	 Hong Kong 	/	15:58	/	 On Time 	/	 No gate
JL1623	/	 Tokyo 	/	15:59	/	 On Time 	/	 No gate
QR1724	/	 Doha 	/	16:00	/	 On Time 	/	 No gate
EY1825	/	 Abu Dhabi 	/	16:01	/	 On Time 	/	 No gate
KE1926	/	 Seoul 	/	16:02	/	 On Time 	/	 No gate
AI2027	/	 Delhi 	/	16:03	/	 On Time 	/	 No gate
TG2128	/	 Bangkok 	/	16:04	/	 On Time 	/	 No gate
KL2229	/	 Amsterdam 	/	16:05	/	 On Time 	/	 No gate
UA2330	/	 Washington DC 	/	16:06	/	 On Time 	/	 No gate
DL2431	/	 Miami 	/	16:07	/	 On Time 	/	 No gate
AA131	/	 Los Angeles 	/	16:08	/	 On Time 	/	 No gate
UA464	/	 New York 	/	16:09	/	 On Time 	/	 No gate
DL797	/	 Chicago 	/	16:10	/	 On Time 	/	 No gate
AC242	/	 Toronto 	/	16:11	/	 On Time 	/	 No gate
BA575	/	 London 	/	16:12	/	 On Time 	/	 No gate
LH898	/	 Frankfurt 	/	16:13	/	 On Time 	/	 No gate
AF131	/	 Paris 	/	16:14	/	 On Time 	/	 No gate
EK464	/	 Dubai 	/	16:15	/	 On Time 	/	 No gate
TK797	/	 Istanbul 	/	16:16	/	 On Time 	/	 No gate
AZ242	/	 Rome 	/	16:17	/	 On Time 	/	 No gate
CX575	/	 Hong Kong 	/	16:18	/	 On Time 	/	 No gate
JL898	/	 Tokyo 	/	16:19	/	 On Time 	/	 No gate
QR131	/	 Doha 	/	16:20	/	 On Time 	/	 No gate
EY464	/	 Abu Dhabi 	/	16:21	/	 On Time 	/	 No gate
KE797	/	 Seoul 	/	16:22	/	 On Time 	/	 No gate
AI242	/	 Delhi 	/	16:23	/	 On Time 	/	 No gate
TG575	/	 Bangkok 	/	16:24	/	 On Time 	/	 No gate
KL898	/	 Amsterdam 	/	16:25	/	 On Time 	/	 No gate
UA329	/	 Washington DC 	/	16:26	/	 On Time 	/	 No gate
DL662	/	 Miami 	/	16:27	/	 On Time 	/	 No gate
AC995	/	 Montreal 	/	16:28	/	 On Time 	/	 No gate
BA440	/	 Edinburgh 	/	16:29	/	 On Time 	/	 No gate
LH773	/	 Munich 	/	16:30	/	 On Time 	/	 No gate
AF898	/	 Lyon 	/	16:31	/	 On Time 	/	 No gate
EK329	/	 Abu Dhabi 	/	16:32	/	 On Time 	/	 No gate
TK662	/	 Antalya 	/	16:33	/	 On Time 	/	 No gate
AZ995	/	 Milan 	/	16:34	/	 On Time 	/	 No gate
CX440	/	 Taipei 	/	16:35	/	 On Time 	/	 No gate
JL773	/	 Osaka 	/	16:36	/	 On Time 	/	 No gate
QR898	/	 Dubai 	/	16:37	/	 On Time 	/	 No gate
EY329	/	 Muscat 	/	16:38	/	 On Time 	/	 No gate
KE662	/	 Jeju 	/	16:39	/	 On Time 	/	 No gate
AI995	/	 Mumbai 	/	16:40	/	 On Time 	/	 No gate
TG440	/	 Phuket 	/	16:41	/	 On Time 	/	 No gate
KL773	/	 Copenhagen 	/	16:42	/	 On Time 	/	 No gate
UA898	/	 Houston 	/	16:43	/	 On Time 	/	 No gate
DL329	/	 Las Vegas 	/	16:44	/	 On Time 	/	 No gate
AC662	/	 Vancouver 	/	16:45	/	 On Time 	/	 No gate
BA995	/	 Manchester 	/	16:46	/	 On Time 	/	 No gate
LH440	/	 Hamburg 	/	16:47	/	 On Time 	/	 No gate
AF773	/	 Marseille 	/	16:48	/	 On Time 	/	 No gate
UA563	/	 Houston 	/	16:49	/	 On Time 	/	 No gate
AA674	/	 Los Angeles 	/	16:50	/	 On Time 	/	 No gate
DL785	/	 New York 	/	16:51	/	 On Time 	/	 No gate
AC896	/	 Toronto 	/	16:52	/	 On Time 	/	 No gate
BA1007	/	 London 	/	16:53	/	 On Time 	/	 No gate
LH1018	/	 Frankfurt 	/	16:54	/	 On Time 	/	 No gate
AF1119	/	 Paris 	/	16:55	/	 On Time 	/	 No gate
EK1220	/	 Dubai 	/	16:56	/	 On Time 	/	 No gate
TK1321	/	 Istanbul 	/	16:57	/	 On Time 	/	 No gate
AZ1422	/	 Rome 	/	16:58	/	 On Time 	/	 No gate
CX1523	/	 Hong Kong 	/	16:59	/	 On Time 	/	 No gate
JL1624	/	 Tokyo 	/	17:00	/	 On Time 	/	 No gate
QR1725	/	 Doha 	/	17:01	/	 On Time 	/	 No gate
EY1826	/	 Abu Dhabi 	/	17:02	/	 On Time 	/	 No gate
KE1927	/	 Seoul 	/	17:03	/	 On Time 	/	 No gate
AI2028	/	 Delhi 	/	17:04	/	 On Time 	/	 No gate
TG2129	/	 Bangkok 	/	17:05	/	 On Time 	/	 No gate
KL2230	/	 Amsterdam 	/	17:06	/	 On Time 	/	 No gate
UA2331	/	 Washington DC 	/	17:07	/	 On Time 	/	 No gate
DL2432	/	 Miami 	/	17:08	/	 On Time 	/	 No gate
AA132	/	 Los Angeles 	/	17:09	/	 On Time 	/	 No gate
UA465	/	 New York 	/	17:10	/	 On Time 	/	 No gate
DL798	/	 Chicago 	/	17:11	/	 On Time 	/	 No gate
AC243	/	 Toronto 	/	17:12	/	 On Time 	/	 No gate
BA576	/	 London 	/	17:13	/	 On Time 	/	 No gate
LH899	/	 Frankfurt 	/	17:14	/	 On Time 	/	 No gate
AF132	/	 Paris 	/	17:15	/	 On Time 	/	 No gate
EK465	/	 Dubai 	/	17:16	/	 On Time 	/	 No gate
TK798	/	 Istanbul 	/	17:17	/	 On Time 	/	 No gate
AZ243	/	 Rome 	/	17:18	/	 On Time 	/	 No gate
CX576	/	 Hong Kong 	/	17:19	/	 On Time 	/	 No gate
JL899	/	 Tokyo 	/	17:20	/	 On Time 	/	 No gate
QR132	/	 Doha 	/	17:21	/	 On Time 	/	 No gate
EY465	/	 Abu Dhabi 	/	17:22	/	 On Time 	/	 No gate
KE798	/	 Seoul 	/	17:23	/	 On Time 	/	 No gate
AI243	/	 Delhi 	/	17:24	/	 On Time 	/	 No gate
TG576	/	 Bangkok 	/	17:25	/	 On Time 	/	 No gate
KL899	/	 Amsterdam 	/	17:26	/	 On Time 	/	 No gate
UA330	/	 Washington DC 	/	17:27	/	 On Time 	/	 No gate
DL663	/	 Miami 	/	17:28	/	 On Time 	/	 No gate
AC996	/	 Montreal 	/	17:29	/	 On Time 	/	 No gate
BA441	/	 Edinburgh 	/	17:30	/	 On Time 	/	 No gate
LH774	/	 Munich 	/	17:31	/	 On Time 	/	 No gate
AF899	/	 Lyon 	/	17:32	/	 On Time 	/	 No gate
EK330	/	 Abu Dhabi 	/	17:33	/	 On Time 	/	 No gate
TK663	/	 Antalya 	/	17:34	/	 On Time 	/	 No gate
AZ996	/	 Milan 	/	17:35	/	 On Time 	/	 No gate
CX441	/	 Taipei 	/	17:36	/	 On Time 	/	 No gate
JL774	/	 Osaka 	/	17:37	/	 On Time 	/	 No gate
QR899	/	 Dubai 	/	17:38	/	 On Time 	/	 No gate
EY330	/	 Muscat 	/	17:39	/	 On Time 	/	 No gate
KE663	/	 Jeju 	/	17:40	/	 On Time 	/	 No gate
AI996	/	 Mumbai 	/	17:41	/	 On Time 	/	 No gate
TG441	/	 Phuket 	/	17:42	/	 On Time 	/	 No gate
KL774	/	 Copenhagen 	/	17:43	/	 On Time 	/	 No gate
UA899	/	 Houston 	/	17:44	/	 On Time 	/	 No gate
DL330	/	 Las Vegas 	/	17:45	/	 On Time 	/	 No gate
AC663	/	 Vancouver 	/	17:46	/	 On Time 	/	 No gate
BA996	/	 Manchester 	/	17:47	/	 On Time 	/	 No gate
LH441	/	 Hamburg 	/	17:48	/	 On Time 	/	 No gate
AF774	/	 Marseille 	/	17:49	/	 On Time 	/	 No gate
UA564	/	 Houston 	/	17:50	/	 On Time 	/	 No gate
AA675	/	 Los Angeles 	/	17:51	/	 On Time 	/	 No gate
DL786	/	 New York 	/	17:52	/	 On Time 	/	 No gate
AC897	/	 Toronto 	/	17:53	/	 On Time 	/	 No gate
BA1008	/	 London 	/	17:54	/	 On Time 	/	 No gate
LH1019	/	 Frankfurt 	/	17:55	/	 On Time 	/	 No gate
AF1120	/	 Paris 	/	17:56	/	 On Time 	/	 No gate
EK1221	/	 Dubai 	/	17:57	/	 On Time 	/	 No gate
TK1322	/	 Istanbul 	/	17:58	/	 On Time 	/	 No gate
AZ1423	/	 Rome 	/	17:59	/	 On Time 	/	 No gate
CX1524	/	 Hong Kong 	/	18:00	/	 On Time 	/	 No gate
JL1625	/	 Tokyo 	/	18:01	/	 On Time 	/	 No gate
QR1726	/	 Doha 	/	18:02	/	 On Time 	/	 No gate
EY1827	/	 Abu Dhabi 	/	18:03	/	 On Time 	/	 No gate
KE1928	/	 Seoul 	/	18:04	/	 On Time 	/	 No gate
AI2029	/	 Delhi 	/	18:05	/	 On Time 	/	 No gate
TG2130	/	 Bangkok 	/	18:06	/	 On Time 	/	 No gate
KL2231	/	 Amsterdam 	/	18:07	/	 On Time 	/	 No gate
UA2332	/	 Washington DC 	/	18:08	/	 On Time 	/	 No gate
DL2433	/	 Miami 	/	18:09	/	 On Time 	/	 No gate
AA133	/	 Los Angeles 	/	18:10	/	 On Time 	/	 No gate
UA466	/	 New York 	/	18:11	/	 On Time 	/	 No gate
DL799	/	 Chicago 	/	18:12	/	 On Time 	/	 No gate
AC244	/	 Toronto 	/	18:13	/	 On Time 	/	 No gate
BA577	/	 London 	/	18:14	/	 On Time 	/	 No gate
LH900	/	 Frankfurt 	/	18:15	/	 On Time 	/	 No gate
AF133	/	 Paris 	/	18:16	/	 On Time 	/	 No gate
EK466	/	 Dubai 	/	18:17	/	 On Time 	/	 No gate
TK799	/	 Istanbul 	/	18:18	/	 On Time 	/	 No gate
AZ244	/	 Rome 	/	18:19	/	 On Time 	/	 No gate
CX577	/	 Hong Kong 	/	18:20	/	 On Time 	/	 No gate
JL900	/	 Tokyo 	/	18:21	/	 On Time 	/	 No gate
QR133	/	 Doha 	/	18:22	/	 On Time 	/	 No gate
EY466	/	 Abu Dhabi 	/	18:23	/	 On Time 	/	 No gate
KE799	/	 Seoul 	/	18:24	/	 On Time 	/	 No gate
AI244	/	 Delhi 	/	18:25	/	 On Time 	/	 No gate
TG577	/	 Bangkok 	/	18:26	/	 On Time 	/	 No gate
KL900	/	 Amsterdam 	/	18:27	/	 On Time 	/	 No gate
UA331	/	 Washington DC 	/	18:28	/	 On Time 	/	 No gate
DL664	/	 Miami 	/	18:29	/	 On Time 	/	 No gate
AC997	/	 Montreal 	/	18:30	/	 On Time 	/	 No gate
BA442	/	 Edinburgh 	/	18:31	/	 On Time 	/	 No gate
LH775	/	 Munich 	/	18:32	/	 On Time 	/	 No gate
AF900	/	 Lyon 	/	18:33	/	 On Time 	/	 No gate
EK331	/	 Abu Dhabi 	/	18:34	/	 On Time 	/	 No gate
TK664	/	 Antalya 	/	18:35	/	 On Time 	/	 No gate
AZ997	/	 Milan 	/	18:36	/	 On Time 	/	 No gate
CX442	/	 Taipei 	/	18:37	/	 On Time 	/	 No gate
JL775	/	 Osaka 	/	18:38	/	 On Time 	/	 No gate
QR900	/	 Dubai 	/	18:39	/	 On Time 	/	 No gate
EY331	/	 Muscat 	/	18:40	/	 On Time 	/	 No gate
KE664	/	 Jeju 	/	18:41	/	 On Time 	/	 No gate
AI997	/	 Mumbai 	/	18:42	/	 On Time 	/	 No gate
TG442	/	 Phuket 	/	18:43	/	 On Time 	/	 No gate
KL775	/	 Copenhagen 	/	18:44	/	 On Time 	/	 No gate
UA900	/	 Houston 	/	18:45	/	 On Time 	/	 No gate
DL331	/	 Las Vegas 	/	18:46	/	 On Time 	/	 No gate
AC664	/	 Vancouver 	/	18:47	/	 On Time 	/	 No gate
BA997	/	 Manchester 	/	18:48	/	 On Time 	/	 No gate
LH442	/	 Hamburg 	/	18:49	/	 On Time 	/	 No gate
AF775	/	 Marseille 	/	18:50	/	 On Time 	/	 No gate
UA565	/	 Houston 	/	18:51	/	 On Time 	/	 No gate
AA676	/	 Los Angeles 	/	18:52	/	 On Time 	/	 No gate
DL787	/	 New York 	/	18:53	/	 On Time 	/	 No gate
AC898	/	 Toronto 	/	18:54	/	 On Time 	/	 No gate
BA1009	/	 London 	/	18:55	/	 On Time 	/	 No gate
LH1020	/	 Frankfurt 	/	18:56	/	 On Time 	/	 No gate
AF1121	/	 Paris 	/	18:57	/	 On Time 	/	 No gate
EK1222	/	 Dubai 	/	18:58	/	 On Time 	/	 No gate
TK1323	/	 Istanbul 	/	18:59	/	 On Time 	/	 No gate
AZ1424	/	 Rome 	/	19:00	/	 On Time 	/	 No gate
CX1525	/	 Hong Kong 	/	19:01	/	 On Time 	/	 No gate
JL1626	/	 Tokyo 	/	19:02	/	 On Time 	/	 No gate
QR1727	/	 Doha 	/	19:03	/	 On Time 	/	 No gate
EY1828	/	 Abu Dhabi 	/	19:04	/	 On Time 	/	 No gate
KE1929	/	 Seoul 	/	19:05	/	 On Time 	/	 No gate
AI2030	/	 Delhi 	/	19:06	/	 On Time 	/	 No gate
TG2131	/	 Bangkok 	/	19:07	/	 On Time 	/	 No gate
KL2232	/	 Amsterdam 	/	19:08	/	 On Time 	/	 No gate
UA2333	/	 Washington DC 	/	19:09	/	 On Time 	/	 No gate
DL2434	/	 Miami 	/	19:10	/	 On Time 	/	 No gate
AA134	/	 Los Angeles 	/	19:11	/	 On Time 	/	 No gate
UA467	/	 New York 	/	19:12	/	 On Time 	/	 No gate
DL800	/	 Chicago 	/	19:13	/	 On Time 	/	 No gate
AC245	/	 Toronto 	/	19:14	/	 On Time 	/	 No gate
BA578	/	 London 	/	19:15	/	 On Time 	/	 No gate
LH901	/	 Frankfurt 	/	19:16	/	 On Time 	/	 No gate
AF134	/	 Paris 	/	19:17	/	 On Time 	/	 No gate
EK467	/	 Dubai 	/	19:18	/	 On Time 	/	 No gate
TK800	/	 Istanbul 	/	19:19	/	 On Time 	/	 No gate
AZ245	/	 Rome 	/	19:20	/	 On Time 	/	 No gate
CX578	/	 Hong Kong 	/	19:21	/	 On Time 	/	 No gate
JL901	/	 Tokyo 	/	19:22	/	 On Time 	/	 No gate
QR134	/	 Doha 	/	19:23	/	 On Time 	/	 No gate
EY467	/	 Abu Dhabi 	/	19:24	/	 On Time 	/	 No gate
KE800	/	 Seoul 	/	19:25	/	 On Time 	/	 No gate
AI245	/	 Delhi 	/	19:26	/	 On Time 	/	 No gate
TG578	/	 Bangkok 	/	19:27	/	 On Time 	/	 No gate
KL901	/	 Amsterdam 	/	19:28	/	 On Time 	/	 No gate
UA332	/	 Washington DC 	/	19:29	/	 On Time 	/	 No gate
DL665	/	 Miami 	/	19:30	/	 On Time 	/	 No gate
AC998	/	 Montreal 	/	19:31	/	 On Time 	/	 No gate
BA443	/	 Edinburgh 	/	19:32	/	 On Time 	/	 No gate
LH776	/	 Munich 	/	19:33	/	 On Time 	/	 No gate
AF901	/	 Lyon 	/	19:34	/	 On Time 	/	 No gate
EK332	/	 Abu Dhabi 	/	19:35	/	 On Time 	/	 No gate
TK665	/	 Antalya 	/	19:36	/	 On Time 	/	 No gate
AZ998	/	 Milan 	/	19:37	/	 On Time 	/	 No gate
CX443	/	 Taipei 	/	19:38	/	 On Time 	/	 No gate
JL776	/	 Osaka 	/	19:39	/	 On Time 	/	 No gate
QR901	/	 Dubai 	/	19:40	/	 On Time 	/	 No gate
EY332	/	 Muscat 	/	19:41	/	 On Time 	/	 No gate
KE665	/	 Jeju 	/	19:42	/	 On Time 	/	 No gate
AI998	/	 Mumbai 	/	19:43	/	 On Time 	/	 No gate
TG443	/	 Phuket 	/	19:44	/	 On Time 	/	 No gate
KL776	/	 Copenhagen 	/	19:45	/	 On Time 	/	 No gate
UA901	/	 Houston 	/	19:46	/	 On Time 	/	 No gate
DL332	/	 Las Vegas 	/	19:47	/	 On Time 	/	 No gate
AC665	/	 Vancouver 	/	19:48	/	 On Time 	/	 No gate
BA998	/	 Manchester 	/	19:49	/	 On Time 	/	 No gate
LH443	/	 Hamburg 	/	19:50	/	 On Time 	/	 No gate
AF776	/	 Marseille 	/	19:51	/	 On Time 	/	 No gate
UA566	/	 Houston 	/	19:52	/	 On Time 	/	 No gate
AA677	/	 Los Angeles 	/	19:53	/	 On Time 	/	 No gate
DL788	/	 New York 	/	19:54	/	 On Time 	/	 No gate
AC899	/	 Toronto 	/	19:55	/	 On Time 	/	 No gate
BA1010	/	 London 	/	19:56	/	 On Time 	/	 No gate
LH1021	/	 Frankfurt 	/	19:57	/	 On Time 	/	 No gate
AF1122	/	 Paris 	/	19:58	/	 On Time 	/	 No gate
EK1223	/	 Dubai 	/	19:59	/	 On Time 	/	 No gate
TK1324	/	 Istanbul 	/	20:00	/	 On Time 	/	 No gate
AI996	/	 Los Angeles 	/	20:01	/	 On Time 	/	 No gate
TG441	/	 New York 	/	20:02	/	 On Time 	/	 No gate
KL774	/	 Chicago 	/	20:03	/	 On Time 	/	 No gate
UA899	/	 Toronto 	/	20:04	/	 On Time 	/	 No gate
DL330	/	 London 	/	20:05	/	 On Time 	/	 No gate
AC663	/	 Frankfurt 	/	20:06	/	 On Time 	/	 No gate
BA996	/	 Paris 	/	20:07	/	 On Time 	/	 No gate
LH441	/	 Dubai 	/	20:08	/	 On Time 	/	 No gate
AF774	/	 Istanbul 	/	20:09	/	 On Time 	/	 No gate
UA564	/	 Rome 	/	20:10	/	 On Time 	/	 No gate
AA675	/	 Hong Kong 	/	20:11	/	 On Time 	/	 No gate
DL786	/	 Tokyo 	/	20:12	/	 On Time 	/	 No gate
AC897	/	 Doha 	/	20:13	/	 On Time 	/	 No gate
BA1008	/	 Abu Dhabi 	/	20:14	/	 On Time 	/	 No gate
LH1019	/	 Los Angeles 	/	20:15	/	 On Time 	/	 No gate
AF1120	/	 New York 	/	20:16	/	 On Time 	/	 No gate
EK1221	/	 Chicago 	/	20:17	/	 On Time 	/	 No gate
TK1322	/	 Toronto 	/	20:18	/	 On Time 	/	 No gate
AZ1423	/	 London 	/	20:19	/	 On Time 	/	 No gate
CX1524	/	 Frankfurt 	/	20:20	/	 On Time 	/	 No gate
JL1625	/	 Paris 	/	20:21	/	 On Time 	/	 No gate
QR1726	/	 Dubai 	/	20:22	/	 On Time 	/	 No gate
EY1827	/	 Istanbul 	/	20:23	/	 On Time 	/	 No gate
KE1928	/	 Rome 	/	20:24	/	 On Time 	/	 No gate
AI2029	/	 Hong Kong 	/	20:25	/	 On Time 	/	 No gate
TG2130	/	 Tokyo 	/	20:26	/	 On Time 	/	 No gate
KL2231	/	 Doha 	/	20:27	/	 On Time 	/	 No gate
UA2332	/	 Abu Dhabi 	/	20:28	/	 On Time 	/	 No gate
DL2433	/	 Seoul 	/	20:29	/	 On Time 	/	 No gate
AA133	/	 Delhi 	/	20:30	/	 On Time 	/	 No gate
UA466	/	 Bangkok 	/	20:31	/	 On Time 	/	 No gate
DL799	/	 Amsterdam 	/	20:32	/	 On Time 	/	 No gate
AC244	/	 Washington DC 	/	20:33	/	 On Time 	/	 No gate
BA577	/	 Miami 	/	20:34	/	 On Time 	/	 No gate
LH900	/	 Montreal 	/	20:35	/	 On Time 	/	 No gate
AF133	/	 Edinburgh 	/	20:36	/	 On Time 	/	 No gate
EK466	/	 Munich 	/	20:37	/	 On Time 	/	 No gate
TK799	/	 Lyon 	/	20:38	/	 On Time 	/	 No gate
AZ244	/	 Abu Dhabi 	/	20:39	/	 On Time 	/	 No gate
CX577	/	 Antalya 	/	20:40	/	 On Time 	/	 No gate
JL900	/	 Milan 	/	20:41	/	 On Time 	/	 No gate
QR133	/	 Taipei 	/	20:42	/	 On Time 	/	 No gate
EY466	/	 Osaka 	/	20:43	/	 On Time 	/	 No gate
KE799	/	 Dubai 	/	20:44	/	 On Time 	/	 No gate
AI244	/	 Muscat 	/	20:45	/	 On Time 	/	 No gate
TG577	/	 Jeju 	/	20:46	/	 On Time 	/	 No gate
KL900	/	 Mumbai 	/	20:47	/	 On Time 	/	 No gate
UA331	/	 Phuket 	/	20:48	/	 On Time 	/	 No gate
DL664	/	 Copenhagen 	/	20:49	/	 On Time 	/	 No gate
AC997	/	 Houston 	/	20:50	/	 On Time 	/	 No gate
BA442	/	 Las Vegas 	/	20:51	/	 On Time 	/	 No gate
LH775	/	 Vancouver 	/	20:52	/	 On Time 	/	 No gate
AF900	/	 Manchester 	/	20:53	/	 On Time 	/	 No gate
EK331	/	 Hamburg 	/	20:54	/	 On Time 	/	 No gate
TK664	/	 Marseille 	/	20:55	/	 On Time 	/	 No gate
AZ997	/	 Houston 	/	20:56	/	 On Time 	/	 No gate
CX442	/	 Los Angeles 	/	20:57	/	 On Time 	/	 No gate
JL775	/	 New York 	/	20:58	/	 On Time 	/	 No gate
QR900	/	 Toronto 	/	20:59	/	 On Time 	/	 No gate
EY331	/	 London 	/	21:00	/	 On Time 	/	 No gate
KE664	/	 Frankfurt 	/	21:01	/	 On Time 	/	 No gate
AI997	/	 Paris 	/	21:02	/	 On Time 	/	 No gate
TG442	/	 Dubai 	/	21:03	/	 On Time 	/	 No gate
KL775	/	 Istanbul 	/	21:04	/	 On Time 	/	 No gate
UA900	/	 Rome 	/	21:05	/	 On Time 	/	 No gate
DL331	/	 Hong Kong 	/	21:06	/	 On Time 	/	 No gate
AC664	/	 Tokyo 	/	21:07	/	 On Time 	/	 No gate
BA997	/	 Doha 	/	21:08	/	 On Time 	/	 No gate
LH442	/	 Abu Dhabi 	/	21:09	/	 On Time 	/	 No gate
AF775	/	 Seoul 	/	21:10	/	 On Time 	/	 No gate
UA565	/	 Delhi 	/	21:11	/	 On Time 	/	 No gate
AA676	/	 Bangkok 	/	21:12	/	 On Time 	/	 No gate
DL787	/	 Amsterdam 	/	21:13	/	 On Time 	/	 No gate
AC898	/	 Washington DC 	/	21:14	/	 On Time 	/	 No gate
BA1009	/	 Miami 	/	21:15	/	 On Time 	/	 No gate
LH1020	/	 Los Angeles 	/	21:16	/	 On Time 	/	 No gate
AF1121	/	 New York 	/	21:17	/	 On Time 	/	 No gate
EK1222	/	 Chicago 	/	21:18	/	 On Time 	/	 No gate
TK1323	/	 Toronto 	/	21:19	/	 On Time 	/	 No gate
AZ1424	/	 London 	/	21:20	/	 On Time 	/	 No gate
CX1525	/	 Frankfurt 	/	21:21	/	 On Time 	/	 No gate
JL1626	/	 Paris 	/	21:22	/	 On Time 	/	 No gate
